,0
0,37.389635050773066
1,19.20200542608842
2,71.11422890643324
3,28.056232083243692
4,73.72227278719568
5,25.27119043274834
6,22.72584217407355
7,24.49718819354873
8,19.92415652254104
9,21.424340136829436
10,21.08494813955013
11,33.370508325264666
12,26.558402024113768
13,39.439611332673174
14,29.577087222840273
15,62.52498435237462
16,23.972621770258993
17,25.497852776675057
18,32.79332646094959
19,68.521089462095
20,58.07188127150877
21,29.545998671998433
22,70.96465634214367
23,52.198413402663384
24,28.287724256553922
25,28.282887647333812
26,41.42546021864335
27,55.53811815460348
28,40.93993138649799
29,57.87956130948314
30,22.983352377672126
31,17.007820208678716
32,22.930623535769673
33,62.59932469343442
34,25.710188633279344
35,29.968627378960033
36,18.803189186173938
37,23.891404035914455
38,27.918354466648296
39,19.211742604986075
40,59.12845704164846
41,69.56354264376938
42,21.222208188461117
43,48.41881919413504
44,24.689629693260947
45,23.77691078229839
46,57.490771436455674
47,61.22669564580924
48,29.75327592499819
49,71.95271007393696
50,18.824990532024508
51,45.56578607049755
52,29.87832634240568
53,23.77212224336514
54,40.27838767426449
55,25.788978193417776
56,26.877150408609623
57,20.76633341573489
58,20.095531359986914
59,28.674495014392374
60,28.829944868369697
61,40.12715335125221
62,57.69225406494663
63,31.626670125094375
64,22.74710792808555
65,20.992792576046227
66,65.94163634479754
67,23.64651025415127
68,23.122294175887774
69,42.96011432573194
70,22.817653885715472
71,31.232012929233836
72,34.11799448264898
73,47.12371529209221
74,39.90958318311007
75,36.09409831697398
76,29.12239481395118
77,21.362096654569843
78,50.30239359395875
79,37.67073099070877
80,40.79375457342612
81,81.65657567253723
82,18.5289352697402
83,30.286604397249707
84,28.158399749901022
85,27.726139911985925
86,71.99789999151244
87,25.526219325948034
88,23.92012872260899
89,65.10462413854141
90,19.083217055189923
91,18.186554805897735
92,24.73503256826482
93,46.0400241162434
94,19.135590042466113
95,28.853810492970993
96,33.65205578892515
97,21.621300222412618
98,20.34772256270045
99,75.81960878930447
100,71.95387799766955
101,25.102122737756858
102,35.1138272356203
103,78.39006963840407
104,76.96004234603014
105,22.87058061276683
106,19.383088743731857
107,46.06259998743431
108,17.00962547724573
109,64.55330969889626
110,22.555551408750016
111,79.91217844547907
112,61.86921174548313
113,27.77959094637051
114,30.5246338362075
115,27.8160794187976
116,56.36169755769894
117,24.707913414169756
118,29.170536455974506
119,27.87318475129435
120,22.315280845656282
121,73.93605634953288
122,23.312943455415805
123,22.04353917735261
124,25.753823429856283
125,19.37319321938965
126,27.054354216317382
127,22.171742236329365
128,58.6267623502266
129,24.503339850136527
130,71.88318937738484
131,27.846491153502267
132,23.90822202006654
133,54.31445519890052
134,20.73442880723461
135,36.81906848636089
136,34.798773366673345
137,76.20021598160537
138,73.81143236356806
139,20.76684723920873
140,30.37032188839544
141,68.07421479088197
142,23.79947126429941
143,23.10230342999796
144,29.157049162244228
145,57.010395624028135
146,54.95144940014333
147,63.01851078168206
148,20.35076564608597
149,79.8871483301288
150,39.38972657448426
151,22.977599636601777
152,24.845399630484003
153,72.7017683982355
154,23.426042782387114
155,28.64311408600927
156,30.030240060869225
157,30.128411592936498
158,21.12162732057319
159,27.220890917978945
160,27.01524894772963
161,62.91121074294875
162,19.81562192243701
163,23.65075499348997
164,66.55945342306612
165,23.5355329442155
166,21.944720366185305
167,27.951260906019293
168,66.43927311300384
169,31.19801744112026
170,27.87522859630608
171,18.442239166334947
172,29.79517870515781
173,76.42100008615242
174,18.927743491988274
175,26.13085115067355
176,27.09477401257216
177,58.73964261916328
178,31.030625340588553
179,23.388593279432133
180,19.948244130094995
181,17.49846479783327
182,64.16689624920053
183,35.27813833670585
184,53.41313082467784
185,27.073254423195582
186,19.451536497361584
187,61.77805926302114
188,21.118389349172816
189,52.8237691506802
190,20.49152122915526
191,18.719124814639656
192,29.50546655985024
193,30.883336797885818
194,48.14199670260571
